dataId,label,accX,accY,accZ,gyroX,gyroY,gyroZ
1,walk,-7.5852,-2.4024,3.8285,162.0059,-63.1548,182.5998
1,walk,-7.815,-2.522,3.9386,161.3194,-17.8481,128.369
1,walk,-8.1021,-2.5699,4.4028,131.1149,28.1451,32.2639
1,walk,-8.2457,-2.4311,4.398,83.7488,68.6466,-23.3398
1,walk,-8.2313,-2.546,4.3837,45.3067,85.1217,-37.0691
1,walk,-8.6764,-2.6225,4.733,10.9834,87.1811,-52.8578
1,walk,-8.6333,-2.278,4.5751,-25.3992,99.5375,-59.7225
1,walk,-8.4132,-2.1727,4.3071,-72.7653,81.0029,-81.6894
1,walk,-8.351,-2.3258,4.1204,-116.6991,75.5112,-79.63
1,walk,-8.2792,-2.1248,4.1061,-140.039,72.7653,-65.9007
1,walk,-8.2122,-2.0913,4.0056,-124.9367,63.1548,-28.1451
1,walk,-8.1787,-2.254,4.0343,-115.3262,50.112,6.8647
1,walk,-8.1643,-2.3593,4.0678,-115.3262,43.9338,40.5015
1,walk,-8.1356,-2.4885,3.9577,-109.8345,42.5609,74.1383
1,walk,-8.1835,-2.589,4.0391,-102.9698,37.0691,91.2999
1,walk,-8.2409,-2.5986,4.2257,-107.7751,32.2639,93.3593
1,walk,-8.1356,-2.5699,4.2544,-128.369,16.4752,71.3924
1,walk,-8.2265,-2.5651,4.2353,-126.9961,-6.8647,56.9766
1,walk,-8.4658,-2.7613,4.2066,-100.9104,-20.594,43.2473
1,walk,-8.7003,-2.9288,4.3454,-78.2571,-32.9503,24.0263
1,walk,-8.93,-3.1107,4.5129,-67.2736,-37.0691,15.1022
1,walk,-9.1214,-3.1633,4.5751,-56.2902,-47.3661,-17.8481
1,walk,-9.332,-3.2016,4.6947,-38.4421,-63.8413,-52.1714
1,walk,-9.2746,-3.2016,4.8287,-41.1879,-105.7157,-46.6797
1,walk,-9.7962,-3.0245,5.0154,-30.2045,-148.963,-46.6797
1,walk,-10.7629,-2.8714,5.2259,17.1616,-124.2503,-74.8247
1,walk,-9.4516,-2.7135,4.8335,57.6631,-127.6826,-30.2045
1,walk,-9.0449,-2.8283,4.4459,48.739,-159.9465,10.297
1,walk,-9.0975,-2.7374,4.197,-3.4323,-165.4382,-11.6699
1,walk,-8.8391,-2.4407,4.0917,-56.9766,-111.2074,7.5511
1,walk,-8.4467,-2.2349,4.0391,-154.4547,-76.1977,37.7556
1,walk,-8.3175,-1.8042,3.8572,-238.2035,-59.036,87.1811
1,walk,-8.7099,-1.3017,3.4457,-231.3389,-40.5015,91.2999
1,walk,-8.997,-1.2347,3.4648,-178.481,35.6962,53.5443
1,walk,-8.4802,-1.4883,3.4026,-114.6397,102.9698,52.8578
1,walk,-8.7577,-1.6941,3.6179,-58.3496,169.557,24.0263
1,walk,-9.1119,-1.7276,3.6179,-40.5015,221.7284,-28.1451
1,walk,-8.9348,-2.0626,3.5557,-34.3233,246.4411,-41.8744
1,walk,-8.93,-2.3115,3.4505,-72.0789,227.2201,-19.9075
1,walk,-8.7912,-2.3641,3.4744,-155.1412,180.5404,15.1022
1,walk,-8.5519,-2.0004,3.4696,-200.4479,107.0886,45.3067
1,walk,-8.2457,-1.6415,3.5701,-179.854,45.9932,88.554
1,walk,-8.15,-1.5218,3.5414,-125.6232,2.7459,105.7157
1,walk,-8.0016,-1.6319,3.4983,-74.8247,-15.1022,108.4616
1,walk,-8.083,-1.8042,3.5222,-15.7887,-13.7293,71.3924
1,walk,-8.1452,-1.8903,3.6179,43.9338,3.4323,41.8744
1,walk,-8.3557,-1.7659,3.7519,100.224,6.8647,4.1188
1,walk,-8.4945,-1.6271,3.8046,151.0224,-13.0428,-31.5774
1,walk,-8.5807,-1.6319,3.6467,172.9893,-48.0526,-42.5609
1,walk,-8.9157,-1.8473,3.9721,190.8374,-72.0789,-59.036
1,walk,-8.9252,-1.8808,3.9386,205.9397,-80.3165,-57.6631
1,walk,-9.1597,-1.986,4.197,173.6758,-105.7157,-57.6631
1,walk,-9.2889,-1.8855,4.5703,107.7751,-140.7254,-48.0526
1,walk,-9.4229,-1.584,4.8479,67.9601,-197.0156,-35.6962
1,walk,-9.6431,-1.2395,5.068,69.333,-267.7215,-30.2045
1,walk,-10.9017,-1.5793,5.3934,141.4119,-319.2065,-57.6631
1,walk,-11.7727,-2.321,5.872,105.7157,-289.6884,-59.036
1,walk,-9.868,-2.7135,4.6229,94.7322,-366.5726,111.2074
1,walk,-10.0738,-2.5651,4.6181,82.3759,-424.2357,172.3028
1,walk,-10.8156,-2.3498,4.8526,104.3428,-374.1237,113.2668
1,walk,-9.5904,-2.6369,4.5129,107.7751,-334.9952,104.3428
1,walk,-8.3605,-2.5938,4.0822,95.4187,-331.5629,154.4547
1,walk,-7.456,-2.0626,3.3595,164.0652,-308.223,200.4479
1,walk,-8.0064,-2.2397,3.3882,260.8569,-180.5404,151.0224
1,walk,-7.6762,-2.6321,3.3978,273.2133,-29.518,39.815
1,walk,-7.681,-2.881,3.4313,246.4411,92.6728,-47.3661
1,walk,-8.3557,-2.857,3.7759,189.4645,200.4479,-127.6826
1,walk,-8.7769,-2.6177,4.1157,126.9961,264.2892,-203.1938
1,walk,-8.863,-2.2397,4.0152,43.2473,280.0779,-243.6953
1,walk,-8.8869,-2.01,3.8477,2.0594,259.4839,-201.1344
2,fallforward,-3.996,-0.7609,1.9334,-118.7585,168.8705,55.6037
2,fallforward,-3.7424,-0.7609,1.5314,-81.6894,223.1013,24.7128
2,fallforward,-3.9817,-1.1246,1.5888,-30.2045,338.4275,-8.2376
2,fallforward,-4.4746,-1.5218,1.8329,23.3398,479.1529,-33.6368
2,fallforward,-4.6995,-1.7994,1.919,87.8676,595.1656,-70.0195
2,fallforward,-5.0297,-1.8138,1.9669,120.1315,682.3467,-124.2503
2,fallforward,-5.3886,-1.6415,2.077,118.0721,759.2308,-182.5998
2,fallforward,-4.8957,-1.6606,1.5697,82.3759,763.3496,-229.966
2,fallforward,-4.5081,-1.6223,0.6413,25.3992,749.6204,-236.8306
2,fallforward,-4.9053,-1.9765,0.3876,82.3759,752.3662,-224.4742
2,fallforward,-5.6614,-2.3545,0.4116,177.1081,833.3691,-223.7878
2,fallforward,-6.2692,-2.3498,0.6987,197.0156,912.3126,-221.0419
2,fallforward,-6.8435,-1.9765,0.2584,158.5735,869.7518,-248.5005
2,fallforward,-7.6522,-1.7563,0.0191,119.445,782.5707,-267.7215
2,fallforward,-8.461,-1.4309,-0.1627,82.3759,709.1188,-329.5034
