dataId,label,accX,accY,accZ,gryoX,gyroY,gyroZ
1,walk,-7.5852,-2.4024,3.8285,16.20059,-6.31548,18.25998
1,walk,-7.815,-2.522,3.9386,16.13194,-1.78481,12.8369
1,walk,-8.1021,-2.5699,4.4028,13.11149,2.81451,3.22639
1,walk,-8.2457,-2.4311,4.398,8.37488,6.86466,-2.33398
1,walk,-8.2313,-2.546,4.3837,4.53067,8.51217,-3.70691
1,walk,-8.6764,-2.6225,4.733,1.09834,8.71811,-5.28578
1,walk,-8.6333,-2.278,4.5751,-2.53992,9.95375,-5.97225
1,walk,-8.4132,-2.1727,4.3071,-7.27653,8.10029,-8.16894
1,walk,-8.351,-2.3258,4.1204,-11.66991,7.55112,-7.963
1,walk,-8.2792,-2.1248,4.1061,-14.0039,7.27653,-6.59007
1,walk,-8.2122,-2.0913,4.0056,-12.49367,6.31548,-2.81451
1,walk,-8.1787,-2.254,4.0343,-11.53262,5.0112,0.68647
1,walk,-8.1643,-2.3593,4.0678,-11.53262,4.39338,4.05015
1,walk,-8.1356,-2.4885,3.9577,-10.98345,4.25609,7.41383
1,walk,-8.1835,-2.589,4.0391,-10.29698,3.70691,9.12999
1,walk,-8.2409,-2.5986,4.2257,-10.77751,3.22639,9.33593
1,walk,-8.1356,-2.5699,4.2544,-12.8369,1.64752,7.13924
1,walk,-8.2265,-2.5651,4.2353,-12.69961,-0.68647,5.69766
1,walk,-8.4658,-2.7613,4.2066,-10.09104,-2.0594,4.32473
1,walk,-8.7003,-2.9288,4.3454,-7.82571,-3.29503,2.40263
1,walk,-8.93,-3.1107,4.5129,-6.72736,-3.70691,1.51022
1,walk,-9.1214,-3.1633,4.5751,-5.62902,-4.73661,-1.78481
1,walk,-9.332,-3.2016,4.6947,-3.84421,-6.38413,-5.21714
1,walk,-9.2746,-3.2016,4.8287,-4.11879,-10.57157,-4.66797
1,walk,-9.7962,-3.0245,5.0154,-3.02045,-14.8963,-4.66797
1,walk,-10.7629,-2.8714,5.2259,1.71616,-12.42503,-7.48247
1,walk,-9.4516,-2.7135,4.8335,5.76631,-12.76826,-3.02045
1,walk,-9.0449,-2.8283,4.4459,4.8739,-15.99465,1.0297
1,walk,-9.0975,-2.7374,4.197,-0.34323,-16.54382,-1.16699
1,walk,-8.8391,-2.4407,4.0917,-5.69766,-11.12074,0.75511
1,walk,-8.4467,-2.2349,4.0391,-15.44547,-7.61977,3.77556
1,walk,-8.3175,-1.8042,3.8572,-23.82035,-5.9036,8.71811
1,walk,-8.7099,-1.3017,3.4457,-23.13389,-4.05015,9.12999
1,walk,-8.997,-1.2347,3.4648,-17.8481,3.56962,5.35443
1,walk,-8.4802,-1.4883,3.4026,-11.46397,10.29698,5.28578
1,walk,-8.7577,-1.6941,3.6179,-5.83496,16.9557,2.40263
1,walk,-9.1119,-1.7276,3.6179,-4.05015,22.17284,-2.81451
1,walk,-8.9348,-2.0626,3.5557,-3.43233,24.64411,-4.18744
1,walk,-8.93,-2.3115,3.4505,-7.20789,22.72201,-1.99075
1,walk,-8.7912,-2.3641,3.4744,-15.51412,18.05404,1.51022
1,walk,-8.5519,-2.0004,3.4696,-20.04479,10.70886,4.53067
1,walk,-8.2457,-1.6415,3.5701,-17.9854,4.59932,8.8554
1,walk,-8.15,-1.5218,3.5414,-12.56232,0.27459,10.57157
1,walk,-8.0016,-1.6319,3.4983,-7.48247,-1.51022,10.84616
1,walk,-8.083,-1.8042,3.5222,-1.57887,-1.37293,7.13924
1,walk,-8.1452,-1.8903,3.6179,4.39338,0.34323,4.18744
1,walk,-8.3557,-1.7659,3.7519,10.0224,0.68647,0.41188
1,walk,-8.4945,-1.6271,3.8046,15.10224,-1.30428,-3.15774
1,walk,-8.5807,-1.6319,3.6467,17.29893,-4.80526,-4.25609
1,walk,-8.9157,-1.8473,3.9721,19.08374,-7.20789,-5.9036
1,walk,-8.9252,-1.8808,3.9386,20.59397,-8.03165,-5.76631
1,walk,-9.1597,-1.986,4.197,17.36758,-10.57157,-5.76631
1,walk,-9.2889,-1.8855,4.5703,10.77751,-14.07254,-4.80526
1,walk,-9.4229,-1.584,4.8479,6.79601,-19.70156,-3.56962
1,walk,-9.6431,-1.2395,5.068,6.9333,-26.77215,-3.02045
1,walk,-10.9017,-1.5793,5.3934,14.14119,-31.92065,-5.76631
1,walk,-11.7727,-2.321,5.872,10.57157,-28.96884,-5.9036
1,walk,-9.868,-2.7135,4.6229,9.47322,-36.65726,11.12074
1,walk,-10.0738,-2.5651,4.6181,8.23759,-42.42357,17.23028
1,walk,-10.8156,-2.3498,4.8526,10.43428,-37.41237,11.32668
1,walk,-9.5904,-2.6369,4.5129,10.77751,-33.49952,10.43428
1,walk,-8.3605,-2.5938,4.0822,9.54187,-33.15629,15.44547
1,walk,-7.456,-2.0626,3.3595,16.40652,-30.8223,20.04479
1,walk,-8.0064,-2.2397,3.3882,26.08569,-18.05404,15.10224
1,walk,-7.6762,-2.6321,3.3978,27.32133,-2.9518,3.9815
1,walk,-7.681,-2.881,3.4313,24.64411,9.26728,-4.73661
1,walk,-8.3557,-2.857,3.7759,18.94645,20.04479,-12.76826
1,walk,-8.7769,-2.6177,4.1157,12.69961,26.42892,-20.31938
1,walk,-8.863,-2.2397,4.0152,4.32473,28.00779,-24.36953
1,walk,-8.8869,-2.01,3.8477,0.20594,25.94839,-20.11344
2,fallforward,-3.996,-0.7609,1.9334,-11.87585,16.88705,5.56037
2,fallforward,-3.7424,-0.7609,1.5314,-8.16894,22.31013,2.47128
2,fallforward,-3.9817,-1.1246,1.5888,-3.02045,33.84275,-0.82376
2,fallforward,-4.4746,-1.5218,1.8329,2.33398,47.91529,-3.36368
2,fallforward,-4.6995,-1.7994,1.919,8.78676,59.51656,-7.00195
2,fallforward,-5.0297,-1.8138,1.9669,12.01315,68.23467,-12.42503
2,fallforward,-5.3886,-1.6415,2.077,11.80721,75.92308,-18.25998
2,fallforward,-4.8957,-1.6606,1.5697,8.23759,76.33496,-22.9966
2,fallforward,-4.5081,-1.6223,0.6413,2.53992,74.96204,-23.68306
2,fallforward,-4.9053,-1.9765,0.3876,8.23759,75.23662,-22.44742
2,fallforward,-5.6614,-2.3545,0.4116,17.71081,83.33691,-22.37878
2,fallforward,-6.2692,-2.3498,0.6987,19.70156,91.23126,-22.10419
2,fallforward,-6.8435,-1.9765,0.2584,15.85735,86.97518,-24.85005
2,fallforward,-7.6522,-1.7563,0.0191,11.9445,78.25707,-26.77215
